pathway_name,pathway_num,n_test_edges,AUC,precision_at_ks,MAP
Amino acid metabolism,00220,75,0.894222,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.9375;64-0.859375;128-0.578125,0.08246287820067012
Amino acid metabolism,00350,190,0.879030,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-1.0;128-0.9140625;256-0.671875,0.1175456767006867
Amino acid metabolism,00340,132,0.876435,1-1.0;2-1.0;4-0.75;8-0.875;16-0.9375;32-0.96875;64-0.9375;128-0.78125;256-0.515625,0.08413058409505578
Amino acid metabolism,00380,206,0.882741,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.9375;128-0.890625;256-0.7265625,0.09871862003107651
Amino acid metabolism,00250,99,0.964289,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.9375;128-0.7734375,0.08120769788286795
Amino acid metabolism,00330,217,0.912273,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.9375;64-0.953125;128-0.9296875;256-0.78515625,0.09968148382656314
Amino acid metabolism,00270,238,0.898842,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.984375;128-0.9453125;256-0.7734375,0.10551406993991516
Amino acid metabolism,00260,158,0.911833,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.953125;128-0.8984375;256-0.61328125,0.11134499253899041
Amino acid metabolism,00290,50,0.975200,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.78125,0.10709850606909431
Amino acid metabolism,00360,127,0.890756,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.984375;128-0.8046875,0.11853250508351902
Amino acid metabolism,00280,85,0.840415,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.90625;64-0.78125;128-0.640625,0.12543859649122807
Amino acid metabolism,00310,140,0.892449,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.953125;128-0.828125;256-0.54296875,0.10878503514838124
Amino acid metabolism,00300,91,0.850380,1-1.0;2-1.0;4-0.75;8-0.75;16-0.875;32-0.9375;64-0.859375;128-0.640625,0.10695297860766252
Amino acid metabolism,00400,115,0.888620,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.96875;128-0.7578125,0.12069503546099292
Xenobiotics biodegradation and metabolism,00791,72,0.886767,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.796875;128-0.5625,0.08411497641215708
Xenobiotics biodegradation and metabolism,00362,132,0.930957,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.96875;128-0.8515625;256-0.515625,0.1105053887085137
Xenobiotics biodegradation and metabolism,00930,43,0.843158,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.8125;64-0.625,0.11842580782312925
Xenobiotics biodegradation and metabolism,00621,50,0.846800,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.875;64-0.703125,0.1671730632551528
Xenobiotics biodegradation and metabolism,00622,59,0.866705,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.90625;64-0.75,0.1550608828006088
Xenobiotics biodegradation and metabolism,00625,86,0.794078,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.90625;64-0.734375;128-0.6171875,0.10504546077980874
Xenobiotics biodegradation and metabolism,00361,161,0.816211,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.84375;128-0.7578125;256-0.6015625,0.11519994790709046
Xenobiotics biodegradation and metabolism,00627,207,0.892343,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.984375;128-0.90625;256-0.71875,0.11559339297975661
Xenobiotics biodegradation and metabolism,00624,161,0.833301,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.875;128-0.796875;256-0.60546875,0.14203437675157715
Xenobiotics biodegradation and metabolism,00626,94,0.819715,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.875;64-0.8125;128-0.65625,0.15640350877192982
Xenobiotics biodegradation and metabolism,00364,61,0.746305,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.75;64-0.6875,0.15162671232876712
Xenobiotics biodegradation and metabolism,00623,75,0.835022,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.78125;128-0.578125,0.15610859158478207
Xenobiotics biodegradation and metabolism,00363,39,0.883629,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.8125;64-0.609375,0.12342873176206508
Xenobiotics biodegradation and metabolism,00643,44,0.957128,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.6875,0.11362612612612613
Xenobiotics biodegradation and metabolism,00984,27,0.897119,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.75,0.1322222222222222
Xenobiotics biodegradation and metabolism,00365,16,0.847656,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125;32-0.5,0.1569767441860465
Xenobiotics biodegradation and metabolism,00982,120,0.807222,1-0.0;2-0.5;4-0.75;8-0.875;16-0.9375;32-0.875;64-0.75;128-0.71875,0.12744180525554386
Xenobiotics biodegradation and metabolism,00642,20,0.865000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875;32-0.59375,0.1494949494949495
Xenobiotics biodegradation and metabolism,00980,168,0.705393,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.71875;128-0.671875;256-0.58203125,0.12629377676996723
Xenobiotics biodegradation and metabolism,00633,48,0.886719,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.703125,0.10179063360881542
Xenobiotics biodegradation and metabolism,00983,128,0.852661,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.921875;128-0.7734375;256-0.5,0.10752997791910372
