rule_num,rule_count,AUC,precision_curve,MAP
RC00006,565,0.8907200000000001,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.96875;64-0.953125;128-0.9296875;256-0.94921875;512-0.830078125,0.24934299999999998
RC00392,550,0.927111,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-1.0;128-1.0;256-0.98828125;512-0.873046875,0.267148
RC00049,438,0.817685,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875;32-0.9375;64-0.9375;128-0.9140625;256-0.8359375;512-0.712890625,0.389709
RC00039,336,0.7437020000000001,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.96875;64-0.9375;128-0.828125;256-0.71484375;512-0.595703125,0.289377
RC00014,279,0.7633770000000001,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.90625;64-0.9375;128-0.921875;256-0.73828125;512-0.5234375,0.282769
RC00171,210,0.7540819999999999,1-1.0;2-1.0;4-0.75;8-0.875;16-0.9375;32-0.90625;64-0.859375;128-0.78125;256-0.6328125,0.359076
RC00041,205,0.767781,1-1.0;2-0.5;4-0.75;8-0.875;16-0.875;32-0.78125;64-0.703125;128-0.7578125;256-0.66015625,0.364551
RC00037,181,0.793779,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.90625;128-0.78125;256-0.625,0.402825
RC00055,169,0.774728,1-1.0;2-0.5;4-0.75;8-0.875;16-0.8125;32-0.90625;64-0.8125;128-0.75;256-0.6015625,0.36238899999999996
RC00020,152,0.8268700000000001,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.875;128-0.7890625;256-0.57421875,0.360954
RC00046,141,0.86379,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.96875;128-0.7890625;256-0.55078125,0.44805900000000004
RC00460,102,0.898501,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.9375;64-0.90625;128-0.7421875,0.324853
RC00523,101,0.785315,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.9375;64-0.828125;128-0.640625,0.314768
RC00059,89,0.828936,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.875;64-0.796875;128-0.6640625,0.373988
RC00661,81,0.852766,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.84375;128-0.6015625,0.35201
RC00490,73,0.832802,1-1.0;2-0.5;4-0.5;8-0.75;16-0.8125;32-0.84375;64-0.78125;128-0.5625,0.427638
RC00080,70,0.8322450000000001,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.875;64-0.703125;128-0.546875,0.48235
RC00154,69,0.912833,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.84375;128-0.5390625,0.500887
RC00144,58,0.8044,1-1.0;2-1.0;4-1.0;8-0.75;16-0.75;32-0.75;64-0.75,0.412763
RC00166,48,0.772135,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.75;64-0.640625,0.431925
RC00003,1364,0.950820,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-1.0;128-1.0;256-1.0;512-0.98828125,0.283775
RC00021,207,0.790030,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.9375;128-0.8203125;256-0.6875,0.217957
RC00010,171,0.820081,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.78125;64-0.859375;128-0.7890625;256-0.63671875,0.263849
RC00062,136,0.869756,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.953125;128-0.8046875;256-0.52734375,0.298841
RC00008,124,0.757739,1-1.0;2-1.0;4-0.75;8-0.75;16-0.6875;32-0.6875;64-0.734375;128-0.703125,0.284039
RC00279,121,0.693327,1-1.0;2-0.5;4-0.5;8-0.375;16-0.5;32-0.6875;64-0.75;128-0.671875,0.154125
RC00466,92,0.926040,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.9375;64-0.90625;128-0.7109375,0.198876
