pathway_name,pathway_num,n_test_edges,AUC,precision_at_ks,MAP
Amino acid metabolism,00220,75,0.548711,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.875;64-0.578125;128-0.4453125,0.11244287386055679
Amino acid metabolism,00350,190,0.634197,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.921875;128-0.765625;256-0.515625,0.1567025062903392
Amino acid metabolism,00340,132,0.560348,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.84375;64-0.796875;128-0.5703125;256-0.51171875,0.13953985003092145
Amino acid metabolism,00380,206,0.626567,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.859375;128-0.7421875;256-0.546875,0.1441657101144736
Amino acid metabolism,00250,99,0.547342,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.875;64-0.703125;128-0.4609375,0.11120798445232102
Amino acid metabolism,00330,217,0.605375,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.90625;64-0.90625;128-0.8046875;256-0.51953125,0.13612044949340718
Amino acid metabolism,00270,238,0.557985,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.90625;64-0.875;128-0.734375;256-0.5234375,0.14436703350020752
Amino acid metabolism,00260,158,0.589709,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.875;64-0.859375;128-0.609375;256-0.46484375,0.147311855654467
Amino acid metabolism,00290,50,0.648400,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75;32-0.75;64-0.5625,0.15521442495126705
Amino acid metabolism,00360,127,0.636989,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.9375;64-0.859375;128-0.6171875,0.15670249421827703
Amino acid metabolism,00280,85,0.608997,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.875;64-0.671875;128-0.4609375,0.1618455497382199
Amino acid metabolism,00310,140,0.634056,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.9375;128-0.6171875;256-0.48828125,0.15132044722953814
Amino acid metabolism,00300,91,0.637906,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.9375;64-0.796875;128-0.484375,0.1654397473275024
Amino acid metabolism,00400,115,0.630586,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.84375;64-0.796875;128-0.5859375,0.1698985507246377
Xenobiotics biodegradation and metabolism,00791,72,0.454282,1-0.0;2-0.5;4-0.75;8-0.875;16-0.9375;32-0.75;64-0.4375;128-0.4765625,0.13467987804878048
Xenobiotics biodegradation and metabolism,00362,132,0.712351,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.90625;128-0.6640625;256-0.515625,0.153584599591311
Xenobiotics biodegradation and metabolism,00930,43,0.676852,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.75;64-0.5,0.15112130479102956
Xenobiotics biodegradation and metabolism,00621,50,0.764800,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.90625;64-0.578125,0.2001262626262626
Xenobiotics biodegradation and metabolism,00622,59,0.725223,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.84375;64-0.640625,0.19594594594594594
Xenobiotics biodegradation and metabolism,00625,86,0.624459,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.78125;64-0.6875;128-0.5,0.15231721358664363
Xenobiotics biodegradation and metabolism,00361,161,0.638922,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.90625;64-0.890625;128-0.6484375;256-0.51171875,0.15886893358876117
Xenobiotics biodegradation and metabolism,00627,207,0.641427,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.875;128-0.7734375;256-0.546875,0.15033307335938914
Xenobiotics biodegradation and metabolism,00624,161,0.800316,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.953125;128-0.8203125;256-0.55859375,0.16514879250728307
Xenobiotics biodegradation and metabolism,00626,94,0.760355,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.890625;128-0.5859375,0.19019468186134852
