rule_num,rule_count,AUC,precision_curve,MAP
RC00049,438,0.739799,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.953125;128-0.8828125;256-0.8125;512-0.6171875,0.506564
RC00392,550,0.658089,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.96875;64-0.96875;128-0.9765625;256-0.953125;512-0.630859375,0.499288
RC00041,205,0.705818,1-1.0;2-1.0;4-1.0;8-0.625;16-0.6875;32-0.75;64-0.8125;128-0.7421875;256-0.6328125,0.467290
RC00046,141,0.889618,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.984375;128-0.890625;256-0.52734375,0.497933
RC00171,210,0.607721,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.90625;64-0.6875;128-0.578125;256-0.515625,0.457609
RC00014,224,0.400361,1-1.0;2-1.0;4-1.0;8-0.875;16-0.625;32-0.59375;64-0.359375;128-0.359375;256-0.44921875,0.306132
RC00055,169,0.706470,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.921875;128-0.78125;256-0.51953125,0.436930
RC00059,89,0.758111,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.90625;64-0.78125;128-0.6015625,0.524290
RC00006,565,0.740904,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.8125;128-0.796875;256-0.828125;512-0.736328125,0.444817
RC00037,44,0.745610,1-1.0;2-1.0;4-1.0;8-0.875;16-0.875;32-0.78125;64-0.59375,0.522510
RC00523,101,0.616508,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.8125;64-0.71875;128-0.5546875,0.414303
RC00154,69,0.914514,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875;32-0.9375;64-0.921875;128-0.5390625,0.508865
RC00020,152,0.712734,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.96875;64-0.90625;128-0.703125;256-0.515625,0.532827
RC00080,70,0.934082,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.96875;64-0.9375;128-0.53125,0.513889
RC00144,58,0.876784,1-1.0;2-1.0;4-0.75;8-0.875;16-0.875;32-0.90625;64-0.796875,0.456081
RC00039,49,0.350271,1-1.0;2-1.0;4-1.0;8-0.75;16-0.8125;32-0.5;64-0.3125,0.326904
RC00490,73,0.801745,1-1.0;2-1.0;4-0.75;8-0.75;16-0.8125;32-0.875;64-0.8125;128-0.546875,0.470085
RC00661,81,0.598613,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.84375;64-0.671875;128-0.453125,0.490760
RC00460,102,0.660323,1-1.0;2-1.0;4-0.75;8-0.875;16-0.9375;32-0.96875;64-0.859375;128-0.53125,0.499760
RC00166,48,0.587240,1-0.0;2-0.5;4-0.75;8-0.875;16-0.8125;32-0.8125;64-0.46875,0.548998
RC00003,1364,0.792428,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.984375;128-0.9921875;256-0.9921875;512-0.99609375,0.493545
RC00021,207,0.773145,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.9375;64-0.890625;128-0.796875;256-0.66015625,0.385068
RC00010,171,0.575322,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.96875;64-0.875;128-0.6328125;256-0.47265625,0.472550
RC00062,136,0.670334,1-1.0;2-1.0;4-0.75;8-0.75;16-0.75;32-0.84375;64-0.84375;128-0.65625;256-0.4921875,0.458677
RC00008,124,0.620187,1-1.0;2-0.5;4-0.75;8-0.75;16-0.75;32-0.625;64-0.59375;128-0.5546875,0.370251
RC00279,121,0.140564,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.8125;64-0.40625;128-0.203125,0.477298
RC00466,92,0.640005,1-1.0;2-1.0;4-1.0;8-0.75;16-0.8125;32-0.90625;64-0.78125;128-0.5078125,0.456810
