rule_num,rule_count,AUC,precision_curve,MAP
RC00041,295,0.726395,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875;32-0.90625;64-0.859375;128-0.84375;256-0.703125;512-0.515625,0.475376
RC00392,528,0.666019,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.96875;64-0.9375;128-0.96875;256-0.9609375;512-0.615234375,0.415083
RC00017,423,0.766033,1-1.0;2-1.0;4-0.5;8-0.625;16-0.8125;32-0.84375;64-0.875;128-0.8671875;256-0.8046875;512-0.654296875,0.543539
RC00002,226,0.560097,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-0.96875;64-0.875;128-0.546875;256-0.52734375,0.462362
RC00049,524,0.745320,1-1.0;2-1.0;4-1.0;8-1.0;16-1.0;32-1.0;64-0.9375;128-0.953125;256-0.88671875;512-0.67578125,0.529703
RC00704,8,0.937500,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5,0.533333
RC02262,19,0.912742,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875;32-0.59375,0.484375
RC00184,15,0.555556,1-0.0;2-0.0;4-0.25;8-0.625;16-0.5,0.383333
RC01003,12,0.548611,1-0.0;2-0.0;4-0.25;8-0.625;16-0.5625,0.471730
RC00992,16,0.642578,1-0.0;2-0.5;4-0.75;8-0.75;16-0.5625;32-0.5,0.388889
RC00069,15,0.755556,1-1.0;2-1.0;4-1.0;8-0.75;16-0.6875,0.405926
RC00085,21,0.819728,1-1.0;2-1.0;4-0.75;8-0.875;16-0.75;32-0.59375,0.554563
RC01525,9,0.580247,1-1.0;2-1.0;4-0.75;8-0.625;16-0.5,0.424747
RC00206,15,0.940000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.473684
RC00013,15,0.786667,1-0.0;2-0.5;4-0.75;8-0.875;16-0.6875,0.529780
RC00015,19,0.456140,1-1.0;2-1.0;4-1.0;8-0.75;16-0.875,0.634209
RC00347,18,0.757716,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875;32-0.53125,0.544231
RC00639,21,0.396825,1-0.0;2-0.0;4-0.25;8-0.375;16-0.375;32-0.4375,0.340756
RC00265,16,0.304688,1-1.0;2-1.0;4-1.0;8-0.75;16-0.375;32-0.5,0.538462
RC01900,7,0.938776,1-1.0;2-1.0;4-1.0;8-0.875,0.555556
RC03113,6,0.361111,1-1.0;2-0.5;4-0.5;8-0.375,0.250926
RC02210,13,0.707101,1-0.0;2-0.0;4-0.25;8-0.625;16-0.75,0.465278
RC00254,10,1.000000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.625,0.500000
RC00091,13,0.284024,1-0.0;2-0.0;4-0.0;8-0.375;16-0.375,0.345238
RC01918,5,0.880000,1-1.0;2-1.0;4-0.75;8-0.625,0.450000
RC00086,11,0.500000,1-1.0;2-1.0;4-0.75;8-0.875,0.642000
RC01008,8,0.625000,1-1.0;2-1.0;4-1.0;8-0.625;16-0.5,0.379167
RC01324,16,0.744141,1-1.0;2-0.5;4-0.75;8-0.875;16-0.75;32-0.5,0.457024
RC00045,9,0.861111,1-1.0;2-1.0;4-1.0;8-0.875,0.726667
RC00197,9,0.604938,1-1.0;2-1.0;4-1.0;8-0.625;16-0.4375,0.377273
RC00003,14,0.843407,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875,0.487054
RC02120,16,0.398438,1-0.0;2-0.0;4-0.0;8-0.5;16-0.5;32-0.5,0.276667
RC00162,20,0.675000,1-1.0;2-0.5;4-0.75;8-0.625;16-0.75;32-0.53125,0.389766
RC02794,13,0.800000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875,0.472619
RC03408,12,0.702381,1-1.0;2-1.0;4-0.75;8-0.75;16-0.6875,0.372619
RC01270,6,0.666667,1-1.0;2-1.0;4-0.75;8-0.75,0.250000
RC00637,16,0.468750,1-0.0;2-0.0;4-0.0;8-0.125;16-0.5625;32-0.5,0.300980
RC00543,18,0.635802,1-0.0;2-0.0;4-0.0;8-0.5;16-0.5625;32-0.5625,0.396552
RC00884,20,0.537500,1-1.0;2-1.0;4-1.0;8-0.75;16-0.625;32-0.625,0.282713
RC00530,16,0.607422,1-1.0;2-1.0;4-0.75;8-0.875;16-0.5;32-0.5,0.362745
RC02078,6,0.611111,1-0.0;2-0.0;4-0.5;8-0.625,0.416667
RC02867,18,0.558642,1-0.0;2-0.5;4-0.5;8-0.625;16-0.5625;32-0.53125,0.460784
RC00296,8,0.937500,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5,0.428571
RC00117,22,0.960744,1-1.0;2-1.0;4-1.0;8-0.875;16-0.9375;32-0.6875,0.545455
RC01114,24,0.386285,1-0.0;2-0.0;4-0.25;8-0.25;16-0.3125;32-0.46875,0.388979
RC00477,12,0.503472,1-1.0;2-1.0;4-1.0;8-0.625;16-0.4375,0.380769
RC02848,20,0.535000,1-0.0;2-0.5;4-0.75;8-0.75;16-0.5625;32-0.46875,0.358413
RC01974,21,0.673469,1-0.0;2-0.5;4-0.75;8-0.625;16-0.75;32-0.5625,0.336458
RC03185,6,0.611111,1-0.0;2-0.5;4-0.5;8-0.625,0.200000
RC00114,21,0.439909,1-0.0;2-0.5;4-0.75;8-0.625;16-0.625;32-0.34375,0.363043
RC00391,16,0.630859,1-1.0;2-1.0;4-1.0;8-1.0;16-0.625;32-0.5,0.411310
RC00065,7,0.642857,1-1.0;2-1.0;4-0.75;8-0.875,0.631250
RC02839,14,0.556122,1-1.0;2-1.0;4-0.5;8-0.25;16-0.625,0.351250
RC03049,15,0.813333,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.536508
RC00098,14,0.696429,1-0.0;2-0.0;4-0.5;8-0.625;16-0.6875,0.409091
RC01333,15,0.575556,1-0.0;2-0.0;4-0.0;8-0.375;16-0.5625,0.465476
RC00070,18,0.581790,1-0.0;2-0.0;4-0.5;8-0.5;16-0.5;32-0.5625,0.387821
RC00980,10,0.835714,1-1.0;2-1.0;4-1.0;8-0.875;16-0.625,0.454365
RC01821,16,0.392578,1-0.0;2-0.0;4-0.0;8-0.0;16-0.5;32-0.5,0.289722
RC00669,6,0.944444,1-1.0;2-1.0;4-1.0;8-0.75,0.500000
RC00134,17,0.771626,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75;32-0.53125,0.486667
RC00024,15,0.804444,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875,0.383102
RC02895,19,0.501385,1-0.0;2-0.0;4-0.0;8-0.375;16-0.6875;32-0.53125,0.286943
RC00088,12,0.656250,1-1.0;2-1.0;4-0.5;8-0.75;16-0.6875,0.408333
RC00581,18,0.595679,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5;32-0.53125,0.391228
RC00128,21,0.702948,1-1.0;2-1.0;4-1.0;8-0.5;16-0.6875;32-0.59375,0.474743
RC03222,4,1.000000,1-1.0;2-1.0;4-1.0,0.333333
RC02813,8,0.625000,1-1.0;2-1.0;4-1.0;8-0.75,0.661905
RC02814,16,0.417969,1-1.0;2-0.5;4-0.5;8-0.375;16-0.375;32-0.5,0.393897
RC00885,5,0.240000,1-0.0;2-0.0;4-0.25;8-0.5,0.333333
RC02795,10,0.890000,1-0.0;2-0.5;4-0.75;8-0.875;16-0.625,0.470833
RC02821,16,0.659375,1-1.0;2-1.0;4-1.0;8-0.75;16-0.625,0.422197
RC00102,20,0.675000,1-1.0;2-0.5;4-0.25;8-0.375;16-0.6875;32-0.5625,0.393364
RC00289,14,1.000000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875,0.500000
RC00152,22,0.413223,1-0.0;2-0.5;4-0.75;8-0.5;16-0.5625;32-0.40625,0.404252
RC02726,20,0.127500,1-0.0;2-0.0;4-0.0;8-0.125;16-0.125;32-0.375,0.246897
RC00084,13,0.902367,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.523810
RC01624,11,0.768595,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625,0.663690
RC00180,19,0.972299,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.59375,0.466477
RC02079,4,0.656250,1-1.0;2-0.5;4-0.75;8-0.5,0.500000
RC03095,8,0.767857,1-1.0;2-1.0;4-1.0;8-0.75,0.306250
RC03522,18,0.486111,1-0.0;2-0.0;4-0.5;8-0.5;16-0.625;32-0.5625,0.327282
RC02084,4,0.812500,1-1.0;2-1.0;4-0.75;8-0.5,0.500000
RC00741,10,0.855000,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625,0.485417
RC00160,16,0.810547,1-0.0;2-0.5;4-0.75;8-0.875;16-0.6875;32-0.5,0.511667
RC01427,14,0.538265,1-1.0;2-1.0;4-0.75;8-0.625;16-0.4375,0.404861
RC03407,12,0.666667,1-1.0;2-1.0;4-0.75;8-0.75;16-0.75,0.351786
RC00589,5,0.960000,1-1.0;2-1.0;4-1.0;8-0.625,0.428571
RC00061,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00201,5,0.680000,1-1.0;2-0.5;4-0.5;8-0.625,0.500000
RC00204,21,0.489796,1-1.0;2-1.0;4-1.0;8-1.0;16-0.5625;32-0.375,0.334127
RC00870,6,0.708333,1-1.0;2-1.0;4-0.75;8-0.625,0.500000
RC00231,20,0.790000,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75;32-0.59375,0.576087
RC00323,15,0.873333,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.475309
RC02561,6,0.916667,1-1.0;2-1.0;4-0.75;8-0.75,0.458333
RC00115,17,0.570934,1-1.0;2-1.0;4-1.0;8-1.0;16-0.5625;32-0.5,0.382197
RC03079,8,0.714286,1-1.0;2-1.0;4-0.75;8-0.75,0.281944
RC02542,16,0.444712,1-1.0;2-0.5;4-0.5;8-0.5;16-0.5,0.292665
RC02360,8,0.612500,1-1.0;2-1.0;4-0.75;8-0.75,0.268056
RC02265,15,0.326667,1-0.0;2-0.5;4-0.25;8-0.5;16-0.3125,0.253108
RC02741,16,0.843750,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875,0.481818
RC00159,24,0.373264,1-0.0;2-0.5;4-0.5;8-0.75;16-0.375;32-0.40625,0.441071
RC02313,14,0.795918,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75,0.449824
RC02823,12,0.597222,1-0.0;2-0.5;4-0.75;8-0.625;16-0.5,0.331966
RC00476,20,0.851250,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125;32-0.59375,0.428000
